"longitude","latitude","OBJECTID","VICINITY","SCI_NM","CMMN_NM","FAM_NAME","GENUS_NAME"
-76.9583128991,38.9235109639,18996821,"across from 3259 FORT LINCOLN DR NE","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0053715491,38.836918236,18920213,"106 WILMINGTON PL SE","Acer campestre","Hedge maple","Aceraceae","Acer"
-77.1024864707,38.9428441332,18994613,"OPP 4125 52ND ST NW","Quercus palustris","Pin oak","Fagaceae","Quercus"
-76.9821923969,38.9309590291,18978135,"1603 KEARNY ST NE","Nyssa sylvatica","Tupelo","Nyssaceae","Nyssa"
-77.0098537414,38.8757707079,19046627,"1222 CARROLLSBURG PL SW","Ginkgo biloba (male)","Ginkgo (male)","Ginkgoaceae","Ginkgo"
-77.0769689143,38.9461840947,19038475,"4343 39TH ST NW","Tilia americana","American linden","Tiliaceae","Tilia"
-76.9590232251,38.8941180673,18913212,"3321 CLAY PL NE","Quercus palustris","Pin oak","Fagaceae","Quercus"
-77.0959693878,38.9358682695,19023861,"4880 GLENBROOK RD NW","Quercus rubra","Red oak","Fagaceae","Quercus"
-76.9871736399,38.8635050497,18906749,"2237 CHESTER ST SE","Acer platanoides","Norway maple","Aceraceae","Acer"
-76.9896501151,38.8840565562,19004097,"OPP 1208 D ST SE","Tilia cordata","Littleleaf linden","Tiliaceae","Tilia"
-77.0578593666,38.9068161902,19020488,"2816 N ST NW","Acer platanoides","Norway maple","Aceraceae","Acer"
-77.0028873996,38.8770488729,18911988,"1112 2ND ST SE","Acer saccharum","Sugar maple","Aceraceae","Acer"
-76.9965119386,38.8871827332,18900230,"600 block NORTH CAROLINA AVE SE","Ulmus species","Elm","Ulmaceae","Ulmus"
-77.0610418925,38.9704409155,18923578,"6123 30TH ST NW","Acer platanoides","Norway maple","Aceraceae","Acer"
-77.0137350027,38.9010985277,19002835,"800 BLOCK 2ND ST NW","Gleditsia species","Honeylocust","Fabaceae","Gleditsia"
-76.9911428311,38.9569714195,19064652,"0 EASTERN AVE NE","Quercus palustris","Pin oak","Fagaceae","Quercus"
-77.0210062184,38.9486703517,18938961,"4808 KANSAS AVE NW","Ulmus parvifolia","Chinese elm","Ulmaceae","Ulmus"
-77.0257305745,38.9035880061,19019570,"OPP 926 MASSACHUSETTS AVE NW","Tilia cordata","Littleleaf linden","Tiliaceae","Tilia"
-76.979749247,38.933983736,19032456,"3522 18TH ST NE","Acer buergeranum","Trident maple","Aceraceae","Acer"
-77.1000239542,38.9265679723,18995452,"4959 ESKRIDGE TER NW","Quercus phellos","Willow oak","Fagaceae","Quercus"
-77.074020036,38.9192290682,19028463,"3715 W ST NW","Amelanchier arborea","Downy serviceberry","Rosaceae","Amelanchier"
-77.0592083375,38.9110148747,18950342,"1613 30TH ST NW","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-76.9180920335,38.8958770155,18924545,"5700 blk EADS ST NE","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-77.0081561664,38.9223350118,18972515,"19 CHANNING ST NE/N. Cap St","Quercus rubra","Red oak","Fagaceae","Quercus"
-77.0715007027,38.9223461,18939340,"Guy Mason Recreation  Center @ 3600 Calvert St NW","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-76.9824791537,38.8841592159,18986024,"1542 D ST SE","Tilia americana","American linden","Tiliaceae","Tilia"
-77.1049832402,38.9282429356,19021802,"5325 MACARTHUR BLVD NW","Prunus serrulata 'Kwanzan'","Kwanzan cherry","Rosaceae","Prunus"
-77.026410288,38.9724092525,18967503,"921 ASPEN ST NW","Quercus coccinea","Scarlet oak","Fagaceae","Quercus"
-76.9870222011,38.9267679683,18914547,"1322 GIRARD ST NE","Acer saccharum","Sugar maple","Aceraceae","Acer"
-77.008034757,38.9145984612,19033720,"1800 BLOCK LINCOLN RD NE","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.045473282,38.9206460215,18990436,"OPP 2334 19TH ST NW","Zelkova serrata 'Village Green'","Village Green Japanese zelkova","Ulmaceae","Zelkova"
-77.0192843269,38.8962174763,18903207,"500 BLOCK E ST NW","Koelreuteria paniculata","Goldenrain tree","Sapindaceae","Koelreuteria"
-76.9815503644,38.9269478398,18901861,"0 GIRARD ST NE","Acer saccharum","Sugar maple","Aceraceae","Acer"
-76.9575982673,38.8842964394,18924209,"401 34TH ST SE","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0665399842,38.9657719643,19055533,"3300 BLK NORTHAMPTON ST NW","Prunus yedoensis","Yoshino cherry","Rosaceae","Prunus"
-77.0414593067,38.9232623218,18906180,"opp 2505 CHAMPLAIN ST NW","Ulmus 'Accolade'","Elm (Accolade)","Ulmaceae","Ulmus"
-77.0220238853,38.906492714,18936675,"1214 7TH ST NW","Quercus coccinea","Scarlet oak","Fagaceae","Quercus"
